id,title,developer_name,editor_name,date,total_reviews,short_desc,tags,game_link,developer_link,editor_link
3065800,Marathon,Bungie,Bungie,5 MAR 2026,32860,"Registra la colonia perdida de Tau Ceti IV en la piel de un corredor biocibernético en un juego PvPvE de disparos, evacuación y supervivencia en primera persona de los creadores de Halo y Destiny.",Disparos y extracción | JcJ | Multijugador | Ciencia ficción | Disparos | FPS | Futuristas | Acción | Primera persona | JcE | Ciberpunk | Personalización de armas | Basados en clases | Supervivencia | Cooperativos en línea | Gestión de inventario | Personalización de personajes | Terror psicológico | Disparos de héroe | LGBTQ+,https://store.steampowered.com/app/3065800/Marathon/,https://store.steampowered.com/developer/Bungie,https://store.steampowered.com/publisher/Bungie
1144200,Ready or Not,VOID Interactive,VOID Interactive,13 DIC 2023,247523,"Los Sueños. El LSPD informa de un gran aumento de los delitos en toda el área metropolitana de Los Sueños. Los SWAT tratan de solventar situaciones de alto riesgo como tomas de rehenes, amenazas de bomba y sospechosos atrincherados, entre otros.",Tácticos | Realistas | FPS | Disparos | Multijugador | Un jugador | Cooperativos | Terror | Primera persona | Acción | Violentos | Terror psicológico | Personalización de armas | Combate | Crimen | Sangrientos | Modernos | Ambientales | Campañas cooperativas | América,https://store.steampowered.com/app/1144200/Ready_or_Not/,https://store.steampowered.com/search/,https://store.steampowered.com/search/
2246340,Monster Hunter Wilds,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",27 FEB 2025,191544,"Siente la fuerza desbocada, salvaje e imparable de la naturaleza en entornos que se transforman drásticamente de un momento a otro. Esta es una historia de monstruos y humanos, y sus dificultades para coexistir en armonía en un mundo de dualidades.",Caza | Acción | Multijugador | Cooperativos en línea | Cooperativos | Personalización de personajes | Dragones | Mundo abierto | Simulador de citas | Tercera persona | Rol de acción | Aventura | Fantasía | Rol | Adorables | Un jugador | Ambientales | Gran banda sonora | Subacuáticos | Terror psicológico,https://store.steampowered.com/app/2246340/Monster_Hunter_Wilds/,https://store.steampowered.com/developer/capcom,https://store.steampowered.com/publisher/capcom
952060,Resident Evil 3,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",2 ABR 2020,77709,"Jill Valentine es una de las pocas personas que quedan en Raccoon City que han sido testigos de las atrocidades de Umbrella. Para detenerla, Umbrella decide usar su arma secreta definitiva: ¡Nemesis! También incluye Resident Evil Resistance, un nuevo modo multijugador online 1 contra 4.",Acción | Zombis | Terror | Multijugador | Protagonista femenina | Supervivencia / Terror | Un jugador | Versiones nuevas | Tercera persona | Cooperativos | Sangrientos | Disparos en tercera persona | Violentos | Buena trama | Ambientales | Aventura | Contenido sexual | Clásicos | Difíciles | Gran banda sonora,https://store.steampowered.com/app/952060/Resident_Evil_3/,https://store.steampowered.com/developer/capcom,https://store.steampowered.com/publisher/capcom
3527290,PEAK,Team PEAK,Aggro Crab,16 JUN 2025,249596,"PEAK es un juego cooperativo de escalada en el que un solo error puede ser fatal. Ya sea en solitario o en grupo, la única esperanza de salir de la misteriosa isla es subiendo hasta la cima de la montaña del centro. ¿Tenéis lo que hace falta para subir al PICO?",Multijugador | Cooperativos en línea | Cooperativos | Física | Exploración | Aventura | Primera persona | Comedia | Generación por procedimientos | 3D | Ambientales | Roguelike de acción | Acción | Gestión del tiempo | Personalización de personajes | Terror | Plataformas | Misterio | Investigación | Supervivencia / Terror,https://store.steampowered.com/app/3527290/PEAK/,https://store.steampowered.com/search/,https://store.steampowered.com/publisher/aggrocrab
3679080,The Seven Deadly Sins: Origin,Netmarble F&C,Netmarble,16 MAR 2026,11481,<The Seven Deadly Sins: Origin> es un RPG de acción y anime en el universo de 『Los Seven Deadly Sins』.. Adopta el papel del príncipe Tristán de Liones y explora el mundo abierto de Britania para restablecer el orden de un reino sumido en el caos a causa de la colisión del tiempo y el espacio.,Mundo abierto | Free to Play | Anime | Multijugador | Aventura | Acción | Rol | Cooperativos en línea | Combate | Buena trama | 3D | Un jugador | Rol de acción | JcE | Hack and slash | Acción y aventura | Animación y modelado | Emocionales | Tercera persona | Fantasía,https://store.steampowered.com/app/3679080/The_Seven_Deadly_Sins_Origin/,https://store.steampowered.com/search/,https://store.steampowered.com/search/
2300320,Farming Simulator 25,GIANTS Software,GIANTS Software,12 NOV 2024,33086,Disfruta de la vida en la granja con Farming Simulator 25 tanto en solitario como de forma cooperativa en modo multijugador. ¡La granja es tuya!,Simulación | Simulador agrícola | Realistas | Multijugador | 3D | Primera persona | Economía | Gestión del tiempo | Construcción | Simulador inmersivo | Tercera persona | Gestión | Ambientales | Relajantes | Naturaleza | Cooperativos en línea | Agrícolas | Física | Un jugador | Modificables,https://store.steampowered.com/app/2300320/Farming_Simulator_25/,https://store.steampowered.com/developer/giantssoftware,https://store.steampowered.com/publisher/giantssoftware
3784030,RACCOIN: Coin Pusher Roguelike,Doraccoon ,Playstack,31 MAR 2026,,"¡Cachín! ¿Oyes ese sonido? ¡Es el de la victoria! Combina las monedas especiales con los pines y crea sinergias increíbles para conseguir un gran combo. Crea torres altísimas, gira la ruleta y sacude la máquina hasta que no quede ni una moneda. ¡Dopamina en estado puro en este adictivo roguelike!",Estrategia | Roguelike | Construcción de barajas | Constructor de barajas Roguelike | Un jugador | Estrategia por turnos | Casuales | 2D | Coloridos | Generación por procedimientos | Roguelite | Adorables | Juegos de cartas | Física | Relajantes | Arcade | Las elecciones importan | Pixelados | Divertidos | Gatos,https://store.steampowered.com/app/3784030/RACCOIN_Coin_Pusher_Roguelike/,https://store.steampowered.com/search/,https://store.steampowered.com/publisher/Playstack
438100,VRChat,VRChat Inc.,VRChat Inc.,1 FEB 2017,259758,"Join our growing community as you explore, play, and help craft the future of social VR. Create worlds and custom avatars. Welcome to VRChat.",RV | Free to Play | Multijugador | Anime | Memes | Divertidos | Multijugador masivo | Primera persona | Mundo abierto | Acceso anticipado | Simulación | Casuales | Aventura | MMORPG | Sandbox | Comedia | Simulador de citas | Supervivencia / Terror | Acción | Ambientales,https://store.steampowered.com/app/438100/VRChat/,https://store.steampowered.com/developer/vrchat,https://store.steampowered.com/publisher/vrchat
227300,Euro Truck Simulator 2,SCS Software,SCS Software,18 OCT 2012,725791,"Travel across Europe as king of the road, a trucker who delivers important cargo across impressive distances! With dozens of cities to explore, your endurance, skill and speed will all be pushed to their limits.",Conducción | Transportes | Simulación | Mundo abierto | Simulador de automóviles | Realistas | Modificables | Relajantes | Exploración | Economía | Simulador inmersivo | Gestión | Ambientales | Multijugador | Para mando | Para toda la familia | Tercera persona | Aventura | Casuales | Indie,https://store.steampowered.com/app/227300/Euro_Truck_Simulator_2/,https://store.steampowered.com/developer/SCSsoftware,https://store.steampowered.com/publisher/SCSsoftware
264710,Subnautica,Unknown Worlds Entertainment,Unknown Worlds Entertainment,23 ENE 2018,311104,"Desciende a las profundidades de un mundo submarino alienígena lleno de belleza y peligros. Crea equipamiento, pilota submarinos, terraforma el terreno, y burla los peligros para explorar exhuberantes arrecifes de coral, volcanes, sistemas de cuevas y más - Todo mientras intentas sobrevivir.",Supervivencia en mundo abierto | Supervivencia | Terror | Subacuáticos | Mundo abierto | Exploración | Fabricación | Construcción de bases | Un jugador | Aventura | Primera persona | Ciencia ficción | Multijugador | Ambientales | Sandbox | Extraterrestres | Supervivencia / Terror | RV | Acción | Indie,https://store.steampowered.com/app/264710/Subnautica/,https://store.steampowered.com/developer/unknown-worlds,https://store.steampowered.com/publisher/unknown-worlds
582660,Black Desert,Pearl Abyss,Pearl Abyss,15 NOV 2017,61741,"Con más de 20 millones de aventureros, black Desert Online es un MMORPG de acción de mundo abierto. ¡Experimenta su intenso combate, enfréntante a Jefes mundiales, asedia castillos junto a tus amigos y mejora en diversas profesiones como pesca, comercio, manufactura, y cocina, entre otras!",Sandbox | Rol de acción | Exploración | MMORPG | Bélicos | Fabricación | Medievales | JcJ | Primera persona | Acción y aventura | Mundo abierto | Personalización de personajes | Rol | Estrategia | 3D | Cocina | Fantasía | Acción | Magia | Cinematográficos,https://store.steampowered.com/app/582660/Black_Desert/,https://store.steampowered.com/developer/Pearlabyss,https://store.steampowered.com/publisher/Pearlabyss
1222670,The Sims™ 4,Maxis,Electronic Arts,2 SEP 2014,192113,"Disfruta del poder de crear y controlar a personas en un mundo virtual donde no hay reglas. ¡Ejerce tu poder con total libertad, diviértete y juega a la vida!",Simulador de vida | Free to Play | Personalización de personajes | Construcción | Simulación | Romance | Un jugador | Sandbox | Simulador de citas | Relajantes | Casuales | Realistas | Divertidos | Para toda la familia | Adorables | Simulador inmersivo | Fantasía | Aventura | Caricaturescos | Desnudos,https://store.steampowered.com/app/1222670/The_Sims_4/,https://store.steampowered.com/developer/EA,https://store.steampowered.com/publisher/EA
440,Team Fortress 2,Valve,Valve,10 OCT 2007,1223855,"Nueve clases diferentes ofrecen una amplia variedad de habilidades tácticas y personalidades. Constantemente actualizado con nuevos modos de juego, mapas, equipamiento y, lo que es más importante, ¡sombreros!",Free to Play | Disparos de héroe | Multijugador | FPS | Disparos | Acción | Basados en clases | Basados en equipos | Divertidos | Primera persona | Cooperativos en línea | Competitivos | Caricaturescos | Comercio | Cooperativos | Comedia | Robots | Tácticos | Dibujos animados | Fabricación,https://store.steampowered.com/app/440/Team_Fortress_2/,https://store.steampowered.com/developer/valve,https://store.steampowered.com/publisher/valve
1623730,Palworld,Pocketpair,Pocketpair,18 ENE 2024,352371,"Este es un juego multijugador de supervivencia en mundo abierto inmenso y original, en el que tendrás que hacerte con unas misteriosas criaturas llamadas Pals, capaces de combatir, construir, cultivar y trabajar en fábricas.",Mundo abierto | Supervivencia | Coleccionista de criaturas | Multijugador | Supervivencia en mundo abierto | Cooperativos en línea | Fabricación | JcJ | Cooperativos | Indie | Aventura | Construcción de bases | Sandbox | Construcción | Automatización | Disparos en tercera persona | Rol | Acción | Exploración | Acceso anticipado,https://store.steampowered.com/app/1623730/Palworld/,https://store.steampowered.com/developer/pocketpair,https://store.steampowered.com/publisher/pocketpair
686060,Mewgenics,Edmund McMillen,Edmund McMillen,10 FEB 2026,40124,"Cría gatos para crear el ejército felino definitivo y envíalos a desafiantes aventuras. Elige habilidades, reúne objetos y manipula la genética de las generaciones en este juego roguelite estratégico por turnos de los creadores de «The Binding of Isaac» y «The End is Nigh».",Tácticas por turnos | Roguelite | Humor negro | Estrategia por turnos | Gatos | Combate por turnos | Rol | Divertidos | Adorables | 2D | Cómics | Terror | Caricaturescos | Surrealistas | Posapocalípticos | Las elecciones importan | No lineales | Tácticos | Magia | Ciencia ficción,https://store.steampowered.com/app/686060/Mewgenics/,https://store.steampowered.com/search/,https://store.steampowered.com/search/
3008130,Dying Light: The Beast Restored Land,Techland,Techland,18 SEP 2025,55110,"Eres Kyle Crane y buscas vengarte tras haber sufrido años de experimentos. Descubre un mundo abierto que mezcla la acción, la supervivencia y el terror mientras buscas a quien te convirtió en mitad bestia, mitad humano.",Zombis | Mundo abierto | Primera persona | Multijugador | Terror | Parkour | Acción | Campañas cooperativas | Sangrientos | Un jugador | Posapocalípticos | Exploración | Buena trama | Combate | Rol | Acción y aventura | Violentos | Realistas | Aventura | Rol de acción,https://store.steampowered.com/app/3008130/Dying_Light_The_Beast_Restored_Land/,https://store.steampowered.com/developer/Techland,https://store.steampowered.com/publisher/Techland
3552140,Retro Rewind - Video Store Simulator,Blood Pact Studios,Blood Pact Studios,17 MAR 2026,,"¡Dirige tu propio videoclub a principios de los 90'! Alquila, vende, decora y amplía tu negocio desde cero, ¡y revive la época dorada del alquiler de vídeos!",Gestión de tiendas | Simulación | Relajantes | Casuales | Simulador inmersivo | Gestión | Gestión de recursos | Un jugador | Gestión de inventario | Películas | Economía | Construcción | 3D | Primera persona | Comercio | Retro | Coloridos | Estilizados | Ambientales | Indie,https://store.steampowered.com/app/3552140/Retro_Rewind__Video_Store_Simulator/,https://store.steampowered.com/search/,https://store.steampowered.com/search/
413150,Stardew Valley,ConcernedApe,ConcernedApe,26 FEB 2016,853536,Acabas de heredar la vieja parcela agrícola de tu abuelo de Stardew Valley. Decides partir hacia una nueva vida con unas herramientas usadas y algunas monedas. ¿Te ves capaz de vivir de la tierra y convertir estos campos descuidados en un hogar próspero?,Simulador agrícola | Pixelados | Multijugador | Simulador de vida | Rol | Relajantes | Simulación | Agricultura | Fabricación | Sandbox | Indie | Construcción | Casuales | Mundo abierto | Un jugador | 2D | Simulador de citas | Adorables | Gran banda sonora | Pesca,https://store.steampowered.com/app/413150/Stardew_Valley/,https://store.steampowered.com/developer/ConcernedApe,https://store.steampowered.com/publisher/ConcernedApe
